Task_ID,Date,Team,Priority,Status,Risk_Level,Planned_Hours,Actual_Hours,Completion_Percentage,Health_Score
TSK-001,2023-01-01,Frontend,Critical,In Review,Medium,24.0,19.0,99,95
TSK-002,2023-01-04,Backend,High,In Progress,Low,19.0,19.0,52,100
TSK-003,2023-01-04,Frontend,Critical,In Review,Medium,25.0,25.0,82,90
TSK-004,2023-01-04,QA,Critical,In Progress,Medium,32.0,30.0,40,95
TSK-005,2023-01-05,Design,Low,In Review,High,18.0,19.0,89,75
TSK-006,2023-01-06,QA,Medium,Done,High,18.0,22.0,100,75
TSK-007,2023-01-06,Frontend,Medium,In Progress,Medium,33.0,44.0,38,75
TSK-008,2023-01-09,Backend,Low,In Review,High,26.0,29.0,86,75
TSK-009,2023-01-10,DevOps,High,Done,High,16.0,19.0,100,75
TSK-010,2023-01-11,QA,Low,In Review,Medium,24.0,26.0,84,85
TSK-011,2023-01-11,Backend,Medium,To Do,Low,16.0,8.0,0,100
TSK-012,2023-01-12,Design,Medium,To Do,Low,16.0,18.0,0,95
TSK-013,2023-01-12,Design,Low,Done,Medium,22.0,24.0,100,85
TSK-014,2023-01-12,Design,Low,To Do,Low,5.0,19.0,0,85
TSK-015,2023-01-13,Backend,Low,To Do,High,6.0,7.0,0,75
TSK-016,2023-01-13,QA,Medium,In Progress,Medium,16.0,20.0,13,85
TSK-017,2023-01-14,Backend,Low,In Review,Low,12.0,14.0,81,95
TSK-018,2023-01-14,Backend,Low,In Progress,Low,23.0,19.0,41,100
TSK-019,2023-01-15,DevOps,High,In Review,High,13.0,21.0,95,75
TSK-020,2023-01-16,DevOps,Low,To Do,Medium,9.0,15.0,0,85
TSK-021,2023-01-18,QA,Medium,In Progress,Medium,32.0,38.0,19,85
TSK-022,2023-01-20,DevOps,High,In Review,High,18.0,15.0,94,85
TSK-023,2023-01-21,Design,Critical,In Review,Medium,21.0,30.0,93,85
TSK-024,2023-01-21,DevOps,Medium,In Progress,Medium,9.0,4.0,34,95
